input,label
"Networking and Infrastructure Development Tools Models processes. Compliance and Regulatory Reporting Systems Services Data data, software, models, and services. Servers Communication Systems Security Assets People Software Non Business Continuity and Disaster Recovery Systems 2. Non Processes",bad
"Data: Patient data, diagnostic data, clinical trial data. Databases: Patient records, treatment l assets. histories, research databases. Tech technical services. nical and Data Centres: Primary and backup data Technical identify their centres. and critical Networking and Infrastructure: Hospital network, secure routers, VPN services. Hosting Services: Secure cloud hosting Non Disaster Recovery Systems: Data backup solutions, disaster recovery plans. Non Models: Predictive models for patient readmissions, drug effectiveness. Servers: Physical and virtual servers. Assets non Communication Systems: Secure email servers, collaboration tools, telehealth communication systems. Security Assets: Firewalls, antivirus, encryption tools. technica Services: IT support, telemedicine platforms, diagnostic services. People: Healthcare professionals, IT support teams. Intellectual Property (IP): Proprietary diagnostic algorithms, treatment protocols. Technology: Hospital infrastructure, diagnostic machines, communication systems. Compliance Systems: HIPAA compliance monitoring. Business Processes: Patient intake workflows, billing procedures, clinical trial management. Software: Hospital management software, electronic medical record (EMR) systems, diagnostic tools. 1 Critical should Development Tools: Medical application IDEs, CI/CD pipelines.",good
"understanding how business Communication Systems: processes can be restored in Collaboration tools, customer case of a cyber incident is communication platforms. driven resource optimization services. It is important to models, traffic prediction Identify identify critical service algorithms. based backup and failover systems. Function Quality ID Function Description Function Outcome Name List of Non Business Processes: Cloud service provisioning, customer support. Services: Cloud Critical components, as some services infrastructure services, managed RC.IP Techni architecture, load balancing cal Assets Non critical to the business Compliance and Regulatory continuity of CloudLink Reporting Systems: Regulatory Solutions. compliance management systems. Networking and 1 and sensitivity than others. Infrastructure: Cloud network Non People: Cloud engineers, support staff, security specialists. Hosting Services: Public and private cloud hosting CloudLink Solutions must with AWS, Azure. Databases: Customer their critical technical and data and application data stored non Intellectual Property (IP): Cloud orchestration systems, proprietary algorithms. Software: centres, hosting services, Cloud management platforms, servers, databases, data, customer applications. Technology: Networking hardware, security appliances. Servers: 60 conduct a comprehensive physical servers, 120 virtual discovery exercise to identify servers. Models: software, models, and AI Technical Excellent may have higher priority or IT services. Security Assets: include but are not limited to Multi Business Continuity and Disaster Recovery Systems: Cloud intellectual property (IP). For Development Tools: Container example, safeguarding orchestration (Docker, intellectual property and Kubernetes), DevOps tools. factor authentication people, processes, and (MFA), secure cloud access. Data Centres: Global cloud data centres.",excellent
Data (Client Data) 1 Assets Systems Servers (Cloud Infrastructure) Databases needs to find (Cloud Storage) Networking (Cloud Networking assets. Infrastructure) People (Cloud Engineers) Compliance Systems (Cloud Regulations) Security Assets (Basic Cloud Security) technical Hosting) Services (Data non Development Tools (Cloud APIs) Communication Systems (Customer Support) Software their technical (Cloud Management Tools) Disaster Recovery (Cloud Data Replication) 2. Non Models (Basic and Resource Allocation Models) Processes (Cloud Service Provisioning),bad
"People: Key personnel including the CEO, CTO, lead developers, and IT support staff. Data: Customer data, application data, and analytics data. Non Business Continuity and Disaster Recovery Systems: Data backup solutions, disaster recovery plans. 2. List of Non Technical assets. It is important to identify critical business processes and understand how IP is safeguarded. Technical components, as some services may have higher priority or sensitivity than others. For example, it is crucial to include 'service' as a whole because some services are more important than others. Communication Systems: Email servers, collaboration tools (e.g., Slack), VoIP phone systems. Security Assets: Firewalls, antivirus software, encryption tools.",good
"People: Medical professionals, health IT specialists, Function Quality ID Function Description Function Outcome Name developers. Networking Critical identify critical service and Infrastructure: Healthcare RC.IP Databases: Patient conduct a comprehensive medical records and research discovery exercise to identify data stored on SQL Server and their critical technical and PostgreSQL. Technical components, as some services Excellent network, telemedicine services. driven diagnostics. Data Centres: Healthcare data storage and processing centres. Hosting Services: HIPAA Models: centres, hosting services, Predictive healthcare models, servers, databases, data, AI compliant hosting services. Techni sensitivity than others. firewalls, HIPAA software, models, and Services: Telemedicine, medical Identify services. It is important to support services. Development Tools: include but are not limited to Medical software development people, processes, and kits (SDKs), version control intellectual property (IP). For systems. compliant cal Assets Non critical to the business Business Continuity and continuity of HealthTech Disaster Recovery Systems: Innovations. Disaster recovery for critical health data. List of Non Business Processes: Patient care workflows, research protocols. 1 and may have higher priority or Security Assets: Encryption, Non Communication example, safeguarding Systems: Secure messaging, intellectual property and video consultation tools. Technology: Medical devices, telehealth infrastructure. Intellectual Property (IP): Medical research software, diagnostic algorithms. Data: Patient non Servers: 20 physical servers and 80 virtual HealthTech Innovations must servers. understanding how business Compliance and Regulatory processes can be restored in Reporting Systems: Tools for case of a cyber incident is HIPAA compliance tracking.",excellent
"Technical Assets: Data Centres: Small-scale on-premise facilities. Hosting: Basic shared hosting for cost savings. Servers: 10+ outdated physical servers. Databases: SQLite for local storage, MySQL for basic queries. Data: Minimal user data, basic logs. Software: Legacy CRM systems, outdated ERP tools. Models: Simple linear regression for basic predictions. Services: Basic IT support, manual data backups. Networking: Basic LAN setup, outdated routers. Security: Weak password policies, minimal encryption. Development: Manual deployment processes, no CI/CD. Compliance: Limited compliance with outdated standards. BC/DR: Manual backups, no disaster recovery plan. Non-Technical: People: Small IT team, generalists. IP: Minimal proprietary assets. Processes: Ad-hoc workflows, no formal documentation. Tech: Outdated hardware, minimal automation.",bad
"Technology: Advanced propulsion systems, ground station equipment. Hosting Services: Technical should Cloud hosting for satellite data processing. and identify their Servers: High Models: Spacecraft trajectory predictors, material stress simulators. Tech critical servers. technica datasets. Business Processes: Satellite manufacturing workflows, mission planning strategies. Software: Orbital simulation tools, l assets. spacecraft management platforms. Communication Systems: Mission communication platforms, satellite ground link tools. Security Assets: Encryption protocols, secure ground station systems. Intellectual Property (IP): Proprietary spacecraft designs, mission optimization algorithms. People: Aerospace engineers, mission controllers. Data Centres: Space Services: Satellite data analysis, mission control support. time space data, astronomical research non Disaster Recovery Systems: Backup ground stations, mission recovery protocols. Non Development Tools: Aerospace engineering software, CI/CD tools. Compliance Systems: Space regulation and safety monitoring. performance space simulation Non Networking and Infrastructure: Secure satellite communication systems. Data: Assets and Real 1 Critical Ventures exploration data centres. Databases: Satellite telemetry, nical technical mission logs, and experimental results.",good
"Data Centres: Secure data centres for sensitive data. Hosting Services: Cloud hosting services with AWS GovCloud. Servers: 50 physical servers and 100 virtual servers. Databases: PII databases, secure storage solutions. Data: Sensitive data, PII, and analytics data. Software: Data encryption tools, secure file transfer software, custom-built applications. Models: Predictive models for data breaches, anomaly detection algorithms. Services: IT support services, data protection services. Networking and Infrastructure: Secure networking solutions, VPN services for remote access. Security Assets: Data encryption tools, secure access protocols. Development Tools: Secure coding platforms, CI/CD pipelines for secure deployment. Communication Systems: Secure email servers, collaboration tools (e.g., Microsoft Teams). Compliance Systems: GDPR compliance monitoring tools. Business Processes: Data protection processes, incident response workflows, financial reporting procedures. Intellectual Property (IP): Proprietary encryption algorithms, data protection methodologies.",excellent
"Technical Assets: Data Centres: Outdated facilities with no redundancy. Hosting: Shared hosting with limited scalability. Servers: 5+ old physical servers. Databases: Flat files for storage, outdated MySQL version. Data: Minimal logs, outdated records. Software: Legacy systems with no updates. Models: Basic rule-based systems, no machine learning. Services: Minimal IT support, manual processes. Networking: Basic LAN with no security. Security: No encryption, weak passwords. Development: No version control, manual deployments. Compliance: Non-compliant with industry standards. BC/DR: No backups, no disaster recovery plan. Non-Technical: People: Overworked IT staff, no specialists. IP: None. Processes: Disorganized workflows, no documentation. Tech: Outdated hardware, no modern tools.",bad
"Technical Assets: Data Centres: Modular facilities for scalability. Hosting: Hybrid cloud for cost optimization. Servers: 50+ ARM-based servers for IoT. Databases: InfluxDB for time-series data, Elasticsearch for logs. Data: IoT device metrics, user activity logs. Software: Node-RED for IoT workflows, Grafana for monitoring. Models: Clustering for anomaly detection, regression for forecasting. Services: IoT device management, remote monitoring. Networking: LoRaWAN for IoT, Zigbee for smart devices. Security: Device-level encryption, secure boot protocols. Development: Docker for containerization, Jenkins for CI/CD. Compliance: NIST IoT standards, ISO 9001. BC/DR: Cloud-based backups, disaster recovery drills. Non-Technical: People: IoT specialists, network engineers. IP: Custom IoT protocols, device management algorithms. Processes: Firmware update workflows, device onboarding. Tech: IoT gateways, edge computing devices.",good
"Technical Assets: Data Centres: Hyperscale facilities with AI-driven cooling (AWS, Azure). Hosting Services: Serverless architectures with FaaS (Lambda, Cloud Run). Servers: 500+ ARM-based edge nodes, 200+ NVIDIA A100 GPU clusters. Databases: PostgreSQL with pg_crypto for PII, MongoDB Atlas for telemetry. Data: Behavioral biometrics, encrypted audit trails. Software: AI-powered SIEM (Splunk ES), IaC (Terraform Enterprise). Models: LLM-based threat detection (Darktrace), predictive patching. Services: MDR (Managed Detection & Response), SBOM generation. Networking: SASE framework (ZTNA + SWG), 5G private slices. Security: Post-quantum TLS 1.3, hardware wallets for secrets. Development: GitLab Ultimate with SAST/DAST, Wasm-based sandboxes. Compliance: Automated NIST CSF scoring, GDPR data mapping. BC/DR: Immutable backups via Restic, cloud-to-cloud replication. Non-Technical: People: Purple teamers, DevSecOps leads. IP: Proprietary YARA rules, SOAR playbooks. Processes: Threat modeling (STRIDE), container escape drills. Tech: Confidential VMs (AMD SEV-SNP), HSM-backed PKI.",excellent
1 Assets needs to find Servers) Data their technical (Soil and Crop Data) Databases (Weather Patterns) Software (Farm and Management Tools) Communication Systems (Internal Communication) Models (Basic Growth non Disaster Recovery (Crop Data Recovery) 2. Non Development Tools (Farm Simulators) Compliance Systems (Agricultural Reporting) assets. Networking (Farm Sensors Network) technical Predictions) Processes (Crop Monitoring) Services (Irrigation Systems) Security Assets (Basic Encryption) People (Farm Managers) Servers (Farm Data,bad
"Technical Assets: Data Centres: Medium-scale facilities with basic cooling. Hosting: Virtualized environments for cost efficiency. Servers: 50+ mid-range servers. Databases: MariaDB for relational data, Redis for caching. Data: Transaction logs, user activity data. Software: Basic analytics tools, open-source CRM. Models: Decision trees for classification, basic clustering. Services: Scheduled reporting, basic data visualization. Networking: Standard Ethernet setup, basic firewalls. Security: Basic antivirus, limited access controls. Development: Manual testing, basic version control. Compliance: Partial compliance with industry standards. BC/DR: Weekly backups, manual failover. Non-Technical: People: IT administrators, junior analysts. IP: Basic data processing scripts. Processes: Manual data entry workflows, limited automation. Tech: Standard office hardware, basic networking equipment.",good
"Technical Assets: Data Centres: On-prem HPC clusters (NVIDIA DGX). Hosting: Hybrid cloud (Anthos, OpenShift). Servers: 100+ bare-metal for HFT, 1k+ spot instances. Databases: TimescaleDB for market ticks, ArangoDB for knowledge graphs. Data: Order book snapshots, NLP-processed earnings calls. Software: QuantLib for pricing, OpenBB for analytics. Models: Reinforcement learning for portfolio optimization. Services: Blockchain settlement layers, algo trading APIs. Networking: Ultra-low-latency microwave links (5µs). Security: FPGA-accelerated encryption, MEMS-based tamper detection. Development: QuantConnect backtesting, Rust-based smart contracts. Compliance: MiFID II trade surveillance, FATF travel rule. BC/DR: Active-active geo-arbitrage, dark fiber redundancy. Non-Technical: People: Crypto economists, FPGA engineers. IP: Patent-pending slippage models. Processes: Flash crash kill switches, FIX protocol audits. Tech: Quantum random number generators.",excellent
Processes (Automobile Manufacturing) Communication Systems (Internal Communication) Data (Sensor Data) Models (Basic Driving and Models) Disaster Recovery (Manual System Backup) 2. Non Databases (Vehicle Performance needs to find Data) Software their technical (Navigation Systems) technical Networking (Car Car Communication) 1 Assets Solutions Servers) Servers (Vehicle Data non Compliance Systems (Basic Safety Standards) Services (Fleet Management) to Development Tools (Automotive Development Software) People (Engineers) assets. Security Assets (Vehicle Security),bad
"Services: Smart grid monitoring, renewable energy consultations. Security Assets: Firewalls, intrusion detection systems, encryption tools. Tech critical analytics. nical technical and Disaster Recovery Systems: Energy data backups, contingency plans for grid failures. Non Technology: Green energy infrastructure, opera hardware. Servers: Physical and virtual energy Assets non technical monitoring servers. assets. Compliance Systems: Environmental regulations compliance monitoring. Software: Energy management systems, predictive maintenance software. Networking and Infrastructure: IoT Development Tools: Renewable energy simulation tools, CI/CD pipelines. Hosting Services: Cloud platforms for energy Non People: Energy engineers, customer support sta Intellectual Property (IP): Proprietary renewable designs, algorithms for efficiency. Data: Energy production data, grid performance data, customer usage analytics. Business Processes: Energy production plannin regulatory reporting. connected energy devices, routers, secure networks. 1 Critical Solutions Models: Energy load forecasting, renewable resource optimization. Databases: Solar, wind, and hydroelectric performance databases. Communication Systems: Secure communication tools, collaboration platforms. Data Centres: Renewable energy data Technical should repositories. and identify their",good
"Technical Assets: Data Centres: Bio-secure facilities (BSL-3). Hosting: HIPAA-compliant PaaS (Red Hat OpenShift). Servers: 50+ GPU nodes for AlphaFold, 200+ EPYC VMs. Databases: DNAnexus for genomes, Snowflake for trials. Data: CRISPR off-target scores, de-identified EHRs. Software: Benchling ELN, PyRosetta for protein folding. Models: GNNs for drug-drug interactions. Services: Synthetic biology foundry, IND submission tools. Networking: RDMA over Converged Ethernet (RoCE). Security: DNA steganography, iris recognition for BSL-4. Development: Nextflow pipelines, BioPython extensions. Compliance: 21 CFR Part 11 e-signatures, GxP validation. BC/DR: LN2-cooled tape archives, CO2 fire suppression. Non-Technical: People: Bioethicists, CRISPR-Cas9 specialists. IP: Gene editing patents, organoid IP. Processes: Dual-control sample destruction, IBC reviews. Tech: Nanopore sequencers, lab automation cobots.",excellent
"Technical Assets: Data Centres: Single-room server closet. Hosting: Shared hosting with limited bandwidth. Servers: 3 aging physical servers. Databases: CSV files for data storage, outdated Access DB. Data: Minimal logs, static content. Software: Unsupported CMS, legacy accounting tools. Models: None. Services: Manual data entry, basic website hosting. Networking: Unmanaged switches, no VLANs. Security: Default passwords, no encryption. Development: No version control, ad-hoc updates. Compliance: None. BC/DR: USB drive backups, no disaster plan. Non-Technical: People: One IT generalist. IP: None. Processes: No formal processes. Tech: Old desktops, basic printers.",bad
"Business Processes: Distribution planning workflows, quality assurance. time water distribution Assets non Data: Real Communication Systems: Field worker communication platforms. Data Centres: Water Services: Smart water meters, water quality analytics. Tech critical Databases: Water supply, usage, and quality nical technical and databases. Software: Water assets. resource management platforms. Disaster Recovery Systems: Data backups, emergency water distribution plans. N on Security Assets: Data encryption, access control. Development Tools: Water simulation software, CI/CD tools. Models: Water demand forecasting, leak detection models. 1 Critical Systems usage data repositories. Hosting Services: Technical should Cloud platforms for water analytics. Networking and Infrastructure: IoT technical data, treatment data. People: Water resource engineers, IT specialists. Compliance Systems: Environmental regulation monitoring. enabled water sensors, secure networks. Technology: Advanced filtration systems, smart meters. Servers: and identify their Water quality and distribution servers. Intellectual Property (IP): Proprietary water quality testing methods. Non",good
"Technical Assets: Data Centres: Autonomous vehicle data lakes (PB-scale). Hosting: AWS IoT Fleetwise, Azure Digital Twins. Servers: NVIDIA Drive AGX, Qualcomm Snapdragon Ride. Databases: Delta Lake for sensor fusion, Redis for V2X. Data: LiDAR point clouds, OTA update manifests. Software: ROS 2, CARLA for simulation. Models: Vision transformers for pedestrian detection. Services: Over-the-air firmware signing, usage-based insurance. Networking: C-V2X with PC5 sidelinking, 802.11bd. Security: HSMs for ECU keys, CAN bus intrusion detection. Development: WebAssembly for edge ML, AUTOSAR toolchains. Compliance: UN R155 CSMS, ISO 21434. BC/DR: Fail-operational architectures, golden image repos. Non-Technical: People: Functional safety engineers, homologation leads. IP: Path planning algorithms, synthetic training data. Processes: FMEA for AI components, HARA workshops. Tech: Solid-state LiDAR, neuromorphic chips.",excellent
"Technical Assets: Data Centres: Unsecured on-premise racks. Hosting: Free-tier cloud with resource limits. Servers: 2 obsolete servers. Databases: Excel spreadsheets, flat files. Data: Outdated records, incomplete logs. Software: Unsupported freeware, expired licenses. Models: None. Services: Occasional IT support, manual backups. Networking: Basic WiFi, no segmentation. Security: No firewalls, open WiFi. Development: No testing, direct edits on production. Compliance: Not applicable. BC/DR: No backups, no recovery plan. Non-Technical: People: Overburdened admin. IP: None. Processes: None. Tech: Outdated laptops, no redundancy.",bad
"People: IT support staff, network engineers. Quality Function Description: Maintain network infrastructure. Data: Network performance data, user activity logs. Security Assets: Firewalls, VPN services, intrusion prevention systems. Business Processes: Network monitoring, incident response procedures. Compliance Systems: ISO 27001 compliance tools. Development Tools: Network monitoring software, SIEM solutions. Technology: Routers, switches, servers. Databases: Network logs, user authentication records. Services: Managed network services, cybersecurity consulting.",good
"Technical Assets: Data Centres: Smart city control rooms (GIS-enabled). Hosting: Municipal hybrid clouds (AWS GovCloud). Servers: Dell EMS servers, Raspberry Pi edge nodes. Databases: PostGIS for spatial data, InfluxDB for IoT. Data: Traffic flow telemetry, gunshot detection audio. Software: Siemens XHQ for utilities, Palantir Foundry. Models: Graph neural nets for power grid failures. Services: Digital twin APIs, drone traffic management. Networking: LoRaWAN for meters, private LTE for first responders. Security: AI-based video redaction, post-quantum VPNs. Development: Fiware NGSI-LD, Digital Twin Definition Language. Compliance: CJIS compliance, NERC CIP-013. BC/DR: Microgrid islanding, satellite backhaul. Non-Technical: People: Urban data stewards, resilience officers. IP: Flood prediction models, pavement degradation algorithms. Processes: IOT device zero-touch provisioning. Tech: Distributed acoustic sensing fiber.",excellent
"Technical Assets: Data Centres: No dedicated server room, servers in an office corner. Hosting: Consumer-grade cloud storage for backups. Servers: One old desktop PC acting as a server. Databases: Spreadsheets used as databases, text files. Data: Unorganized customer contact lists, old invoices. Software: Outdated office software, freeware utilities of unknown origin. Models: None. Services: Occasional file sharing, very basic website (static HTML). Networking: Consumer-grade WiFi router with default settings. Security: No firewall beyond router's basic NAT, weak or no passwords on critical files. Development: Direct editing of live files, no backups before changes. Compliance: None attempted or understood. BC/DR: Infrequent manual copies to external USB drive, no recovery plan. Non-Technical: People: Owner handles all IT tasks with no expertise. IP: None. Processes: Ad-hoc, undocumented. Tech: Old, unreliable hardware, pirated software.",bad
"Technical Assets: Data Centres: Regional facilities with redundant power. Hosting: Managed Kubernetes for scalable apps. Servers: 60+ virtualized servers for web hosting. Databases: MariaDB for transactional data, Elasticsearch for logs. Data: Customer feedback, usage analytics. Software: Open-source CMS, analytics dashboards. Models: Logistic regression for churn prediction. Services: Scheduled data exports, basic alerting. Networking: Standard gigabit Ethernet, managed firewalls. Security: Role-based access, regular patching. Development: Git-based version control, manual QA. Compliance: SOC 2 readiness, partial GDPR. BC/DR: Nightly backups, documented restore procedures. Non-Technical: People: Web admins, QA testers. IP: Custom plugins, analytics scripts. Processes: Ticket-based support, monthly reviews. Tech: Standard rack servers, managed switches.",good
"Technical Assets: Data Centres: Space-ground segment (AWS Ground Station). Hosting: Kubernetes on LEO satellites (KubeEdge). Servers: Radiation-hardened FPGA payloads. Databases: SQLite for telemetry, Milvus for EO imagery. Data: Hyperspectral cubes, conjunction data messages. Software: AGI STK, NASA TLE tools. Models: Reinforcement learning for station-keeping. Services: Space debris monitoring, RF spectrum auctions. Networking: Laser inter-satellite links, DTN protocols. Security: TEMPEST shielding, command authentication. Development: Astro Pi SDK, COSMOS for ground systems. Compliance: ITAR-controlled toolchains, OSTP orbital debris. BC/DR: Cross-satellite replication, radiation-tolerant storage. Non-Technical: People: Orbital mechanics experts, spectrum regulators. IP: Patent-pending deorbiting systems. Processes: Launch collision avoidance, RFI mitigation. Tech: Ion thrusters, photon-counting detectors.",excellent
